Time RV eRV BIS FWHM S-index
55000.01016 -1.507 0.758 0.000869 -0.008214 -4.947
55000.031943 0.258 0.729 -0.002486 -0.006328 -4.9463
55000.051185 -2.09 0.743 -0.002522 -0.012881 -4.954
55000.899737 -1.935 0.7 -0.001303 -0.009939 -4.9518
55001.091211 -2.496 0.714 -0.003924 -0.007804 -4.9516
55001.180715 -0.327 0.707 -0.001755 -0.005713 -4.946
55001.920771 -3.469 0.679 -0.001396 -0.012329 -4.9565
55002.166872 -3.607 0.673 -0.003021 -0.00786 -4.953
55002.903168 -1.568 0.679 -0.003706 -0.009175 -4.9511
55003.19153 -3.322 0.686 -0.003072 -0.009926 -4.955
55003.910433 -3.734 0.679 -0.003545 -0.009967 -4.9555
55004.190311 -2.813 0.679 -0.001353 -0.013224 -4.9513
55004.901677 -4.287 0.781 -0.001196 -0.007131 -4.9528
55005.146172 -2.481 0.781 -0.002788 -0.005465 -4.9466
55016.992988 3.053 0.812 -0.001855 -0.000303 -4.9389
55017.065319 2.762 0.935 -0.004636 0.000283 -4.9339
55017.126625 4.003 0.893 -0.00046 0.004322 -4.9351
55017.980441 0.821 0.935 -0.005105 -0.00034 -4.9408
55018.062397 4.267 0.729 -0.002456 0.006319 -4.9307
55018.12992 3.172 0.714 -0.001814 0.003826 -4.9351
55018.962736 6.385 0.796 -0.002367 0.013879 -4.9252
55019.052725 5.365 0.721 4.3e-05 0.012189 -4.9286
55019.12445 4.63 0.721 -0.001186 0.011962 -4.9273
55019.978816 6.061 0.781 -0.000595 0.017667 -4.9213
55020.047709 6.965 0.714 -0.000759 0.015859 -4.9191
55020.123477 6.119 0.721 -0.002347 0.015374 -4.9209
55020.924942 6.79 0.714 -0.002901 0.019811 -4.9154
55021.045314 9.033 0.743 -0.002879 0.022912 -4.9159
55021.117926 7.815 0.743 -0.000855 0.021802 -4.9105
55021.970359 10.159 0.743 -0.00027 0.029765 -4.907
55022.99611 10.424 0.679 -0.00175 0.024339 -4.9122
55023.073036 10.934 0.679 -0.0013 0.031687 -4.9032
55023.133828 12.741 0.693 -0.000121 0.036045 -4.8971
55025.072406 14.493 0.91 0.000532 0.038201 -4.8922
55026.098459 15.878 0.836 0.002131 0.043825 -4.8896
55027.06494 15.113 0.736 0.002864 0.044968 -4.894
55027.12678 13.71 0.634 0.000739 0.040503 -4.8952
