Time RV eRV BIS FWHM S-index
55000 0.309 0.74 0.000189 -0.001008 -4.9486
55000.976043 -1.144 0.694 -0.002425 -0.007709 -4.952
55001.975759 -3.56 0.687 0.000898 -0.011219 -4.9574
55002.98318 -1.719 0.687 -0.001018 -0.005768 -4.9503
55003.967771 -0.018 0.702 0.001216 0.000135 -4.9431
55004.930516 -1.156 0.687 0.000195 -0.005631 -4.9495
55005.924069 -2.45 0.687 0.001432 -0.008407 -4.9524
55023.917794 11.433 0.66 -0.001658 0.032785 -4.9053
55024.859789 11.693 0.664 0.002334 0.038672 -4.8975
55025.904265 13.695 0.66 0.000692 0.036998 -4.9007
55026.947598 15.57 0.694 0.005314 0.041439 -4.8968
55027.936825 13.213 0.68 0.002626 0.035466 -4.903
55028.851187 12.08 0.687 0.001119 0.029173 -4.9061
55029.886751 10.985 0.66 0.005323 0.042677 -4.9028
55030.901125 8.198 0.66 0.007616 0.03738 -4.9078
55031.848346 6.862 0.66 0.007573 0.03541 -4.9086
55032.854358 5.146 0.664 0.010913 0.031568 -4.9123
55037.879078 -2.387 0.65 -0.001403 -0.01151 -4.9554
55038.842858 -2.571 0.658 -7.8e-05 -0.007076 -4.956
55039.825733 -4.45 0.68 -0.002912 -0.012181 -4.9632
55040.920535 -5.228 0.675 -0.002595 -0.020512 -4.9684
55041.866019 -5.378 0.66 -0.00676 -0.013979 -4.9632
55042.897529 -2.214 0.66 -0.006811 -0.013365 -4.9556
55044.918132 8.022 0.687 -0.005011 0.007137 -4.9284
55045.812979 6.677 0.643 -0.007999 -0.000197 -4.9327
55046.818289 9.223 0.687 -0.007101 0.01427 -4.924
55085.809789 12.68 0.654 0.001978 0.032445 -4.8979
55086.73136 9.395 0.68 -0.002078 0.016125 -4.915
55087.705458 15.196 0.68 0.000606 0.035859 -4.8995
55091.72771 4.107 0.654 0.007285 0.020387 -4.9238
55092.713128 3.46 0.664 0.006399 0.021688 -4.9211
55113.786643 11.979 0.647 0.013625 0.05705 -4.8877
55114.729926 8.954 0.65 0.011317 0.045248 -4.8998
