Time RV eRV BIS FWHM S-index
55000 385.89 0.546 -0.002806 -0.023441 -4.992
55000.976043 384.95 0.481 -0.002657 -0.02308 -4.9918
55001.975759 385.888 0.471 -0.003735 -0.025198 -4.9935
55002.98318 384.309 0.471 -0.003099 -0.023594 -4.9951
55003.967771 385.17 0.493 -0.003312 -0.022404 -4.9958
55004.930516 384.16 0.471 -0.003039 -0.023891 -4.9899
55005.924069 384.53 0.471 -0.00383 -0.021536 -4.9907
55023.917794 376.806 0.431 -0.005295 -0.025369 -4.9979
55024.859789 377.033 0.437 -0.004934 -0.028404 -5.0029
55025.904265 374.715 0.431 -0.005022 -0.026101 -4.9993
55026.947598 375.111 0.481 -0.004959 -0.025045 -4.9948
55027.936825 374.134 0.461 -0.004483 -0.024216 -4.9943
55028.851187 372.141 0.471 -0.005198 -0.026499 -4.9933
55029.886751 372.303 0.431 -0.004705 -0.026127 -4.9932
55030.901125 370.725 0.431 -0.004938 -0.02692 -4.9914
55031.848346 369.641 0.431 -0.004705 -0.02723 -4.9923
55032.854358 370.23 0.437 -0.004857 -0.025906 -4.9945
55037.879078 366.98 0.415 -0.004288 -0.02398 -4.9951
55038.842858 364.86 0.427 -0.00461 -0.032161 -4.9927
55039.825733 366.655 0.461 -0.004652 -0.02633 -4.9938
55040.920535 367.113 0.454 -0.004815 -0.028236 -4.9944
55041.866019 365.498 0.431 -0.003946 -0.024582 -4.9889
55042.897529 366.321 0.431 -0.004029 -0.027155 -4.9919
55044.918132 366.116 0.471 -0.00427 -0.025951 -4.9953
55045.812979 362.996 0.405 -0.004224 -0.028862 -4.9917
55046.818289 363.31 0.471 -0.004872 -0.02248 -5
55085.809789 345.253 0.421 -0.002064 -0.017923 -4.9746
55086.73136 343.661 0.461 -0.001568 -0.017894 -4.9739
55087.705458 345.155 0.461 -0.002009 -0.020895 -4.9771
55091.72771 340.457 0.421 -0.004873 -0.014984 -4.9759
55092.713128 342.318 0.437 -0.004756 -0.012017 -4.9698
55113.786643 331.498 0.411 -0.005144 -0.015953 -4.987
55114.729926 332.867 0.415 -0.005234 -0.01786 -4.9819
55115.715973 333.14 0.421 -0.004461 -0.015806 -4.9823
55116.668174 330.656 0.395 -0.003447 -0.017569 -4.9798
55117.691098 331.894 0.395 -0.003145 -0.018732 -4.9774
55118.695585 329.592 0.41 -0.002701 -0.01333 -4.9771
55119.727494 329.089 0.41 -0.0022 -0.009924 -4.9769
55120.652095 329.295 0.411 -0.001982 -0.014135 -4.9764
55121.685951 328.912 0.4 -0.002576 -0.020153 -4.9778
55122.638782 327.293 0.411 -0.002022 -0.021012 -4.9815
55123.736582 328.865 0.411 -0.002028 -0.023096 -4.9852
55353.898126 208.413 0.411 -0.001895 -0.012863 -4.9482
55353.990378 208.419 0.387 -0.001591 -0.013516 -4.9462
55354.863497 208.92 0.488 -0.002153 -0.009931 -4.9491
55355.873719 208.752 0.411 -0.002613 -0.012334 -4.9437
55355.987022 206.704 0.411 -0.002427 -0.014724 -4.9451
55356.862604 209.613 0.421 -0.002632 -0.009744 -4.9449
55356.997757 209.603 0.461 -0.003098 -0.012328 -4.9452
55357.859664 210.043 0.411 -0.003468 -0.010678 -4.948
55357.976802 209.708 0.411 -0.003171 -0.012852 -4.9478
55358.870204 211.949 0.411 -0.003188 -0.009895 -4.9471
55359.985225 212.013 0.411 -0.00275 -0.014216 -4.9527
55361.846279 208.679 0.421 -0.002906 -0.011465 -4.9503
55361.990899 208.324 0.421 -0.00226 -0.014795 -4.9484
55388.874981 192.032 0.262 -0.00224 -0.014812 -4.9584
55388.986475 191.931 0.28 -0.002355 -0.016853 -4.9566
55389.941153 191.281 0.266 -0.002352 -0.015009 -4.9576
55390.845643 189.253 0.376 -0.002503 -0.013535 -4.955
55391.00516 190.215 0.387 -0.002913 -0.013686 -4.9537
55391.845313 189.14 0.354 -0.003336 -0.012765 -4.9515
55391.925847 189.434 0.395 -0.00339 -0.014629 -4.9512
55391.995058 189.697 0.417 -0.003124 -0.013344 -4.9517
55392.825832 190.071 0.356 -0.002928 -0.012852 -4.9486
55392.91432 189.67 0.356 -0.002741 -0.013247 -4.9513
55392.999259 189.27 0.358 -0.00273 -0.013967 -4.952
55393.802577 187.967 0.358 -0.002696 -0.012336 -4.9507
55394.000813 188.851 0.362 -0.002471 -0.012986 -4.9517
55394.823422 189.103 0.634 -0.002897 -0.012964 -4.9486
55394.904553 189.072 0.451 -0.002679 -0.014005 -4.9498
55395.837561 187.753 0.358 -0.002877 -0.011855 -4.9465
55395.908429 187.19 0.358 -0.002973 -0.014104 -4.944
55395.988753 187.191 0.391 -0.003019 -0.014308 -4.9528
55407.77202 181.332 0.4 -0.003507 -0.017623 -4.9759
55407.851842 179.413 0.387 -0.003196 -0.021443 -4.972
55407.942074 181.492 0.391 -0.003435 -0.017497 -4.9737
55408.796151 182.612 0.387 -0.003825 -0.01636 -4.9754
55408.880994 181.832 0.387 -0.003603 -0.019701 -4.9791
55408.945579 183.6 0.424 -0.003637 -0.016331 -4.9793
55409.773927 180.131 0.387 -0.00383 -0.015916 -4.9665
55409.849833 179.025 0.387 -0.003679 -0.018711 -4.9647
55409.927806 179.414 0.441 -0.003787 -0.017287 -4.9691
55410.749079 178.901 0.387 -0.004234 -0.015208 -4.9623
55410.847343 179.383 0.387 -0.003895 -0.014707 -4.9622
55410.924307 177.996 0.387 -0.003866 -0.016687 -4.961
55411.770711 178.796 0.387 -0.004067 -0.010657 -4.9588
55411.860233 178.568 0.387 -0.004144 -0.013694 -4.961
55411.932755 178.433 0.387 -0.00378 -0.012474 -4.9647
55412.762281 176.379 0.397 -0.003368 -0.009949 -4.9553
55412.850111 177.059 0.397 -0.003615 -0.011266 -4.9534
55412.927109 175.982 0.401 -0.003227 -0.013321 -4.9542
55413.77531 176.227 0.387 -0.003698 -0.010892 -4.9504
55413.834618 176.241 0.387 -0.003843 -0.012213 -4.9519
55413.914346 175.879 0.387 -0.003447 -0.013289 -4.9505
55414.777127 178.043 0.387 -0.003847 -0.010681 -4.9531
55414.838744 178.255 0.387 -0.003992 -0.012179 -4.9533
55414.908749 178.621 0.387 -0.004316 -0.010968 -4.953
55415.782991 176.897 0.397 -0.003556 -0.011514 -4.946
55415.855185 179.04 0.397 -0.003322 -0.010815 -4.9485
55415.933997 177.848 0.397 -0.003345 -0.011629 -4.9483
55416.770696 176.643 0.391 -0.00359 -0.011254 -4.9417
55416.865457 176.764 0.417 -0.003132 -0.013492 -4.9438
