Time RV eRV BIS FWHM S-index
55000.01016 -3.372 0.758 -0.001438 -0.017457 -4.985
55000.031943 -2.532 0.729 0.002757 -0.011048 -4.9796
55000.051185 -0.37 0.743 -0.001707 -0.012315 -4.9834
55000.899737 -2.548 0.7 -0.000225 -0.014835 -4.9822
55001.091211 -3.113 0.714 -0.000354 -0.016968 -4.9863
55001.180715 -3.626 0.707 -0.003902 -0.015642 -4.9815
55001.920771 -4.176 0.679 -0.002675 -0.019317 -4.9888
55002.166872 -5.413 0.673 -0.002109 -0.023232 -4.9912
55002.903168 -3.384 0.679 0.000167 -0.017711 -4.9875
55003.19153 -5.45 0.686 -0.002081 -0.018932 -4.993
55003.910433 -4.229 0.679 0.000431 -0.016568 -4.9883
55004.190311 -4.523 0.679 -0.000458 -0.014414 -4.9878
55004.901677 -6.668 0.781 -0.001266 -0.013032 -4.9916
55005.146172 -5.448 0.781 -0.00044 -0.025337 -4.9926
55016.992988 -8.657 0.812 -0.00305 -0.02578 -4.9995
55017.065319 -9.058 0.935 -0.002032 -0.026346 -4.9959
55017.126625 -8.765 0.893 -0.004472 -0.024903 -4.9968
55017.980441 -9.054 0.935 -0.003838 -0.024849 -4.9977
55018.062397 -6.783 0.729 -0.002191 -0.022072 -4.996
55018.12992 -9.475 0.714 -0.003673 -0.030581 -5.0001
55018.962736 -9.386 0.796 -0.001767 -0.028267 -4.9945
55019.052725 -6.577 0.721 -0.003011 -0.022513 -4.9942
55019.12445 -9.34 0.721 -0.004151 -0.023681 -4.9943
55019.978816 -8.647 0.781 -0.001118 -0.023307 -4.9948
55020.047709 -9.661 0.714 -0.003935 -0.024978 -4.9974
55020.123477 -9.044 0.721 -0.000794 -0.024424 -4.9974
55020.924942 -9.163 0.714 -0.003303 -0.021414 -4.9968
55021.045314 -9.508 0.743 -0.00264 -0.028405 -5.0013
55021.117926 -8.257 0.743 -0.002479 -0.023981 -4.9971
55021.970359 -9.136 0.743 -0.000688 -0.024878 -4.9935
55022.99611 -9.807 0.679 -0.002135 -0.026158 -4.9998
55023.073036 -8.402 0.679 -0.002039 -0.027885 -5.0013
55023.133828 -8.595 0.693 -0.00538 -0.02373 -4.9988
55025.072406 -6.665 0.91 -0.004186 -0.02074 -4.9899
55026.098459 -9.206 0.836 -0.001459 -0.019887 -4.9936
55027.06494 -6.263 0.736 -0.002717 -0.024791 -4.9945
55027.12678 -7.94 0.634 -0.001736 -0.019799 -4.9976
55028.111997 -8.002 0.64 -0.003707 -0.018185 -4.995
55029.936632 -8.77 0.64 -0.004473 -0.025889 -5.0017
55029.9942 -8.982 0.729 -0.003812 -0.021308 -4.9962
55030.119278 -7.464 0.653 -0.002829 -0.027628 -5.0015
55033.111763 -5.862 0.729 -0.006691 -0.021174 -4.9928
55033.973542 -4.333 0.61 -0.003547 -0.018125 -4.9894
55034.061717 -5.763 0.686 -0.002923 -0.024931 -4.9921
55034.904816 -4.009 0.686 -0.006757 -0.020807 -4.9891
55035.018007 -5.82 0.588 -0.004926 -0.027463 -4.9969
55035.082785 -2.814 0.594 -0.00592 -0.011712 -4.985
55037.025087 -2.65 0.653 -0.002508 -0.020462 -4.9837
55037.104736 -3.391 0.605 -0.006554 -0.017462 -4.9869
55037.870826 -4.4 0.594 -0.004259 -0.014102 -4.9857
55038.025688 -2.364 0.578 -0.004364 -0.017477 -4.985
55051.839292 -4.015 0.736 -0.001257 -0.021416 -4.9917
55051.867377 -4.544 0.721 -0.003834 -0.023413 -4.9989
55052.003426 -3.012 0.743 -0.00304 -0.021637 -4.9923
55052.821767 -2.774 0.743 -0.002805 -0.023825 -4.9966
55052.93943 -4.311 0.736 -0.001423 -0.028023 -5.0027
55053.010159 -2.633 0.736 -0.002638 -0.01597 -4.9901
55053.8345 -3.098 0.751 -0.002447 -0.022696 -4.9968
55053.926513 -3.878 0.729 -0.003237 -0.027155 -4.998
55054.0234 -5.042 0.721 -0.003447 -0.025401 -4.9969
55054.974127 -2.896 0.707 -0.003411 -0.025748 -4.997
55055.029413 -4.096 0.721 -0.004841 -0.027601 -4.9987
55055.81497 -4.839 0.721 -0.002447 -0.027658 -5.0003
55055.94872 -3.045 0.707 -0.00361 -0.019343 -4.9951
55056.021308 -4.576 0.729 -0.001969 -0.024764 -4.9989
55056.963809 -2.474 0.707 -0.003814 -0.021838 -4.998
55057.034515 -4.809 0.743 -0.004604 -0.023579 -4.9974
55057.8413 -2.681 0.729 -0.00264 -0.023892 -4.9966
55057.986195 -3.531 0.736 -0.001741 -0.024004 -4.9959
55058.970523 -4.812 0.721 -0.000953 -0.023855 -5.0016
55075.919972 -7.776 0.721 0.00067 -0.026559 -4.9969
55075.993785 -7.05 0.736 -0.0026 -0.020256 -4.9949
55076.822434 -7.692 0.736 -0.001268 -0.022226 -4.9982
55076.937824 -7.168 0.599 -0.003806 -0.022422 -4.9958
55077.912527 -7.872 0.578 -0.001546 -0.025366 -4.9957
55077.984395 -7.948 0.578 -0.001992 -0.020951 -4.9924
55078.910357 -6.855 0.659 -0.003051 -0.017722 -4.9916
55078.96979 -6.891 0.653 3.2e-05 -0.021303 -4.99
55079.906584 -7.669 0.647 -0.001055 -0.022861 -4.9966
55079.979505 -5.465 0.653 -0.002508 -0.020545 -4.9919
55080.90712 -6.963 0.679 -0.002697 -0.01677 -4.9914
55080.971195 -8.614 0.686 -0.002655 -0.025172 -4.9968
55081.893919 -7.421 0.679 -0.002119 -0.024514 -4.992
55081.964868 -9.255 0.673 -0.002822 -0.025704 -5
55084.85783 -8.948 0.686 -0.002404 -0.02361 -4.9961
55084.935734 -10.686 0.666 -0.00457 -0.023771 -4.9942
55085.85352 -6.054 0.7 -0.00149 -0.019508 -4.9863
55085.92463 -7.014 0.686 -0.000114 -0.015413 -4.9873
55086.837897 -7.45 0.693 -0.003068 -0.020023 -4.9933
55086.904876 -8.905 0.686 -0.001622 -0.017762 -4.9908
55090.849281 -9.22 0.673 -0.003781 -0.023678 -4.9984
55091.827476 -11.114 0.707 -0.004779 -0.020039 -4.9981
55091.919249 -7.898 0.781 0.000325 -0.01825 -4.9918
55096.919798 -11.715 0.729 -0.004425 -0.027408 -5.0027
55114.854568 -5.654 0.729 -0.002553 -0.020474 -4.9948
55115.81989 -4.59 0.721 -0.003027 -0.018933 -4.9898
55116.84632 -5.415 0.736 -0.002361 -0.024049 -4.9925
55117.837526 -5.205 0.721 -0.006651 -0.020897 -4.9919
55118.86356 -2.282 0.721 -0.00249 -0.020145 -4.9905
55119.823454 -2.083 0.714 -0.003537 -0.020199 -4.991
55120.840937 -6.142 0.82 -0.004095 -0.017365 -4.991
55121.795277 -3.466 0.721 -0.007656 -0.019724 -4.9888
55122.845022 -2.543 0.707 -0.000478 -0.012284 -4.9853
55123.841223 -3.452 0.7 -0.002565 -0.020507 -4.9874
55330.018339 -1.31 0.7 0.003121 -0.002141 -4.975
55330.137457 -3.849 0.7 -0.001753 -0.016936 -4.9869
55330.243576 -1.113 0.7 0.001467 -0.005324 -4.9728
55331.162589 -1.178 0.679 0.0025 -0.004542 -4.9765
55332.04958 -2.624 0.679 0.001262 -0.010775 -4.978
55332.223383 -3.99 0.679 0.002944 -0.008566 -4.9787
55333.21593 -1.353 0.666 0.000928 -0.006558 -4.9768
55334.128354 -1.745 0.659 0.001142 -0.011546 -4.9776
55334.234884 -3.971 0.714 0.000646 -0.019494 -4.9889
55335.151821 -2.135 0.7 0.001268 -0.016244 -4.9872
55335.267575 -2.618 0.721 0.000309 -0.016076 -4.9837
55336.041557 -4.427 0.721 0.000722 -0.014716 -4.9909
55336.1253 -1.486 0.751 0.000469 -0.014295 -4.9857
55336.244828 -1.706 0.82 -0.000765 -0.0177 -4.9833
55339.156289 -3.598 0.766 -0.001761 -0.018851 -4.9919
55339.253297 -2.567 0.736 -0.000213 -0.01555 -4.9875
55340.226488 -1.745 0.812 0.001846 -0.017684 -4.9899
55353.025783 -1.436 0.766 -0.000265 -0.010098 -4.9803
55353.104579 -0.374 0.61 -0.000731 -0.004641 -4.9725
55353.200328 -1.988 0.616 -0.001262 -0.00973 -4.9776
55354.010307 -0.427 0.594 -0.00037 -0.010072 -4.9747
55354.106879 -1.913 0.594 0.000429 -0.009054 -4.9779
55355.01963 -0.461 0.594 0.002737 -0.003362 -4.9722
55355.116237 -0.636 0.594 0.000433 -0.00287 -4.9728
55355.209476 -0.521 0.605 0.000302 -0.008695 -4.9738
55355.966294 0.38 0.605 0.002673 -0.003283 -4.9707
55356.072086 -2.942 0.804 -0.001195 -0.012384 -4.983
55356.170585 1.449 0.766 0.000185 -0.007627 -4.9693
55357.076719 -2.895 0.61 0.000196 -0.011504 -4.9827
55376.933371 -1.658 0.605 0.000694 -0.002946 -4.9682
55377.030201 -6.52 0.628 -0.002838 -0.011151 -4.9851
55377.134044 -3.289 0.622 -0.001016 -0.008762 -4.9783
55378.047301 -1.727 0.634 -0.002577 -0.006086 -4.9723
55378.12663 -4.842 0.64 -0.005085 -0.011273 -4.9763
55378.179361 -3.734 0.64 -0.001901 -0.013611 -4.9826
55379.978787 0.18 0.647 -0.001585 0.007024 -4.9676
55380.075188 -5.359 0.653 -0.00286 -0.01333 -4.9774
55380.151345 -3.87 0.653 0.000517 -0.007578 -4.9753
55381.0116 -3.094 0.634 -0.001461 -0.00237 -4.9704
55381.969885 -0.558 0.653 0.001603 -0.00125 -4.9663
55382.065163 -5.526 0.653 -0.003133 -0.008364 -4.9795
55382.154364 -3.968 0.673 0.000718 -0.00114 -4.9711
55382.935611 -2.753 0.653 0.00184 -0.000868 -4.9664
55383.051954 -6.37 0.64 -0.001602 -0.007329 -4.9774
55383.122509 -5.5 0.634 -0.001539 -0.003378 -4.9734
55384.909686 -4.548 0.653 -0.000453 -0.005838 -4.9808
55385.018609 -5.647 0.634 0.002162 -0.007368 -4.973
55385.064581 -4.404 0.622 0.002693 0.004493 -4.9682
55388.00439 -7.514 0.659 -0.000784 -0.016662 -4.9868
55388.060073 -6.949 0.666 0.003516 -0.004384 -4.9765
55389.099168 -8.086 0.653 0.000789 -0.017614 -4.9896
55389.866147 -5.544 0.736 0.00144 -0.010871 -4.9811
55390.056445 -7.849 0.61 -0.002714 -0.013079 -4.9842
55390.122891 -5.937 0.616 -0.000148 -0.012729 -4.9828
55390.90932 -5.437 0.721 0.002135 -0.014948 -4.9833
55391.030527 -8.113 0.707 0.00106 -0.023585 -4.9924
55391.110051 -6.094 0.995 -0.001344 -0.013575 -4.9827
55391.911431 -5.491 0.82 -0.001442 -0.012852 -4.9851
55391.998264 -6.362 0.64 0.001354 -0.013857 -4.9829
55392.072117 -7.897 0.647 -0.001555 -0.01785 -4.9893
55392.894937 -6.677 0.789 -0.002 -0.013327 -4.9792
55393.05167 -7.882 0.86 -9.9e-05 -0.014848 -4.9909
55393.125198 -8.323 0.622 -0.001066 -0.019624 -4.9899
55393.940355 -7.652 0.628 -0.001919 -0.02192 -4.9902
55394.036788 -9.356 0.634 -0.000853 -0.017954 -4.9948
55394.826365 -5.545 0.64 -0.001826 -0.013308 -4.9815
55394.941432 -6.04 0.634 -0.001566 -0.013062 -4.9857
55395.04864 -5.757 0.622 -0.003014 -0.015164 -4.989
55403.807554 -3.957 0.622 -0.002207 -0.016917 -4.987
55403.991078 -2.029 0.7 0.001519 -0.015765 -4.9836
55406.81024 -2.774 0.616 0.000597 -0.019683 -4.9894
55406.915135 -3.94 0.673 -0.003584 -0.023375 -4.999
55407.933788 -1.779 0.666 -0.000325 -0.015554 -4.9861
55407.997438 -5.302 0.659 -0.00404 -0.025339 -4.9969
55408.075394 -4.085 0.647 -0.003459 -0.026349 -4.9983
55408.936436 -2.181 0.653 -0.000383 -0.018229 -4.9906
55409.005573 -2.922 0.659 -0.003627 -0.015321 -4.9883
55409.072156 -2.089 0.659 -0.00039 -0.01835 -4.9926
55414.84828 1.301 0.686 -0.001081 -0.017052 -4.987
55414.967104 -2.376 0.666 -0.002584 -0.020038 -4.9929
55415.073436 -2.253 0.647 -0.002782 -0.020567 -4.9905
55415.855465 0.466 0.653 -0.002428 -0.019519 -4.989
55415.914594 -0.263 0.729 -0.003476 -0.016477 -4.9902
55416.031543 0.143 0.653 -0.002102 -0.013103 -4.9809
55416.851683 -2.416 0.666 -0.00424 -0.024582 -4.9926
55416.924757 -2.222 0.653 -0.003474 -0.019305 -4.9942
55417.045538 0.059 0.647 -0.001503 -0.015349 -4.9892
55417.864692 -2.376 0.64 -0.00367 -0.017168 -4.9905
55417.94379 -2.068 0.679 -0.001504 -0.022913 -4.9929
55418.04706 -1.114 0.686 -0.003705 -0.022277 -4.9933
55418.869234 -3.975 0.714 -0.003487 -0.027062 -4.9993
55418.943084 -1.623 0.653 -0.004829 -0.019205 -4.9936
55419.026088 -2.322 0.659 -0.002652 -0.022933 -4.995
55419.886708 -1.187 0.673 -0.004607 -0.015866 -4.9909
55419.980319 -3.312 0.659 -0.002916 -0.026525 -4.9988
55420.024547 -0.77 0.64 -0.003228 -0.016196 -4.9913
55423.829024 -1.926 0.628 -0.004021 -0.019619 -4.9957
55423.927403 0.185 0.634 0.000753 -0.012558 -4.9794
55423.99392 0.26 0.693 -0.000409 -0.013048 -4.98
55424.785997 -1.942 0.673 -0.002522 -0.018256 -4.985
55424.925821 -2.371 0.659 -0.003588 -0.017777 -4.9882
55425.018928 0.714 0.7 -0.001662 -0.010357 -4.979
55425.783367 0.677 0.714 6.7e-05 -0.012771 -4.9808
55425.914967 -0.904 0.7 -0.000969 -0.014556 -4.9836
55426.817052 0.354 0.686 -0.003984 -0.016033 -4.9829
55426.926998 -1.133 0.659 -0.003964 -0.01582 -4.9874
55427.022558 -0.119 0.659 -0.004432 -0.011408 -4.9826
55430.838778 1.634 0.653 -0.002305 -0.008868 -4.9804
