Time RV eRV BIS FWHM S-index
55000.00352 33.121 0.721 -0.006966 0.045647 -4.8981
55000.124851 34.562 0.707 -0.00156 0.046244 -4.8968
55000.989175 32.577 0.628 0.001422 0.0575 -4.8804
55001.119325 33.021 0.634 0.001293 0.060126 -4.8868
55001.24235 31.387 0.634 0.003445 0.063834 -4.8826
55001.983939 30.05 0.707 0.004328 0.064967 -4.8746
55002.232758 31.723 0.583 0.010316 0.068203 -4.8722
55002.974572 29.831 0.666 0.010971 0.070217 -4.8702
55003.11273 29.933 0.588 0.012121 0.068243 -4.8732
55003.207776 29.583 0.666 0.011223 0.066215 -4.8667
55003.234423 29.498 0.588 0.011826 0.070615 -4.8737
55004.058822 26.553 0.588 0.012783 0.068903 -4.8783
55004.141912 26.662 0.64 0.007934 0.065726 -4.8776
55004.210254 27.924 0.634 0.011959 0.068556 -4.8752
55004.967118 24.271 0.634 0.010694 0.05998 -4.8874
55005.229578 24.105 0.628 0.009726 0.064879 -4.8873
55005.978689 21.203 0.628 0.01268 0.061789 -4.8919
55006.139084 17.354 0.634 0.012346 0.052813 -4.9031
55006.225586 16.962 0.605 0.009896 0.051475 -4.8971
55006.975674 15.606 0.61 0.015852 0.051173 -4.9085
55007.077861 15.702 0.61 0.014372 0.051888 -4.9016
55007.214675 14.444 0.616 0.015956 0.046785 -4.9102
55007.970113 14.69 0.605 0.014694 0.042925 -4.9084
55008.076587 14.3 0.605 0.014431 0.044251 -4.9064
55008.213156 12.118 0.647 0.014823 0.040616 -4.9101
55008.996017 14.76 0.653 0.013791 0.032275 -4.9025
55009.090646 13.006 0.64 0.013038 0.028602 -4.9161
55009.213179 13.007 0.653 0.010785 0.028742 -4.9198
55009.972363 15.067 0.659 0.005878 0.021082 -4.9167
55011.015241 16.397 0.647 0.002497 0.014226 -4.9278
55011.097407 18.947 0.622 -0.000287 0.016398 -4.9298
55011.193017 18.758 0.634 0.002339 0.018658 -4.9277
55019.059167 1.331 0.628 0.006289 0.004288 -4.9486
