Time RV eRV BIS FWHM S-index
55000 -253.892 0.421 -2.2e-05 0.012517 -4.8893
55026.93481 -237.967 0.367 0.000739 0.013077 -4.8963
55026.990465 -237.752 0.367 0.000823 0.014572 -4.8962
55027.964068 -238.652 0.367 0.000142 0.011876 -4.8981
55027.997077 -237.457 0.363 0.000128 0.012392 -4.8966
55038.928696 -231.142 0.431 -0.000765 0.010429 -4.9043
55039.924587 -230.607 0.56 -0.000763 0.013662 -4.9042
55040.843835 -233.363 0.471 -7.3e-05 0.007856 -4.9012
55042.927168 -233.207 0.242 0.001924 0.011784 -4.8955
55043.677643 -233.606 0.412 0.002968 0.008131 -4.901
55043.89061 -229.239 0.443 0.003778 0.014091 -4.8949
55059.787334 -217.212 0.385 0.000129 0.007971 -4.9002
55059.920516 -215.393 0.385 -0.00016 0.015674 -4.8972
55061.719108 -216.294 0.391 -0.001384 0.005269 -4.9044
55061.93434 -214.577 0.385 -0.00178 0.011124 -4.9028
55062.763908 -217.902 0.433 -0.001834 0.007284 -4.9028
55063.807163 -220.462 0.385 -0.002201 0.000671 -4.9041
55063.911652 -217.942 0.385 -0.002484 0.005019 -4.9055
55065.728028 -219.402 0.397 -0.001488 -0.002607 -4.9169
55065.810773 -219.475 0.391 -0.001397 0.001518 -4.9144
55067.805596 -218.843 0.404 0.000698 -0.000571 -4.9191
55067.919968 -216.844 0.421 0.000778 0.003434 -4.9175
55068.760999 -216.368 0.391 0.00158 -0.000562 -4.9165
55068.839993 -217.858 0.375 0.001606 -0.000772 -4.9147
55069.756076 -217.273 0.385 0.002059 -0.002091 -4.9196
55069.842344 -216.096 0.385 0.001544 0.002214 -4.9163
55070.754714 -214.128 0.375 0.002189 0.000195 -4.9177
55070.84327 -214.777 0.38 0.002025 0.001925 -4.9183
55071.783576 -218.122 0.375 0.001833 -0.002066 -4.9154
55071.880041 -213.437 0.391 0.001814 0.005956 -4.9155
55072.754995 -212.996 0.367 0.001804 0.003447 -4.9134
55072.863141 -213.105 0.391 0.001213 0.008362 -4.9118
55073.764879 -212.999 0.391 0.001181 0.002569 -4.9147
55073.860347 -210.674 0.391 0.000771 0.00758 -4.9117
55074.78266 -212.934 0.391 0.000635 0.002449 -4.9105
55074.900347 -210.171 0.391 0.000357 0.007207 -4.9078
55075.61311 -213.934 0.395 0.000281 -0.003002 -4.9133
55075.81286 -212.353 0.395 0.000194 0.002723 -4.9089
55076.843279 -209.799 0.401 -0.000208 0.001091 -4.9086
55077.722351 -212.975 0.401 0.000685 0.00025 -4.9036
55077.84478 -210.932 0.401 0.000774 0.005054 -4.9036
55078.685139 -213.291 0.391 0.001354 0.002994 -4.8971
55078.834778 -213.456 0.391 0.001602 0.004794 -4.8998
55079.721316 -212.721 0.391 0.003215 0.006796 -4.891
55079.840181 -211.625 0.391 0.003189 0.007779 -4.8922
55080.702192 -211.732 0.391 0.004043 0.00734 -4.8906
55080.811175 -209.682 0.421 0.00414 0.014136 -4.8865
55081.682231 -209.317 0.404 0.004338 0.011387 -4.8839
55081.771299 -209.251 0.421 0.005067 0.014473 -4.8822
55082.66403 -207.655 0.391 0.005163 0.013894 -4.8805
55082.811462 -206.734 0.391 0.005203 0.017827 -4.8774
55091.658 -202.788 0.251 0.000126 0.008989 -4.8829
55091.724491 -204.378 0.254 0.000241 0.008901 -4.8832
55091.784181 -201.818 0.25 1e-05 0.012279 -4.8865
55092.661346 -201.026 0.259 2.8e-05 0.010786 -4.8932
55092.746769 -200.756 0.25 9.3e-05 0.011393 -4.8945
55092.812684 -199.905 0.243 -0.000521 0.012209 -4.8929
55094.680143 -201.172 0.355 -0.000604 0.008866 -4.9036
55094.750614 -199.691 0.35 -0.000788 0.010781 -4.9023
55094.830506 -199.207 0.348 -0.000225 0.011023 -4.904
55095.654142 -199.444 0.287 0.000192 0.004789 -4.9076
55095.728627 -198.419 0.287 0.000203 0.007189 -4.9042
55095.804629 -198.273 0.458 0.00048 0.007466 -4.9039
55096.621087 -197.108 0.244 -0.000522 0.003132 -4.9097
55096.682823 -196.881 0.371 0.000357 0.004771 -4.9088
55096.763092 -195.809 0.286 -4.1e-05 0.005726 -4.9084
55097.655179 -196.606 0.25 -0.000258 0.000316 -4.9076
55097.727535 -196.808 0.25 -0.000291 0.001939 -4.9074
55097.800021 -196.129 0.25 -0.00064 0.005024 -4.9047
