Time RV eRV BIS FWHM S-index
55000 387.166 0.546 -0.002806 -0.023441 -4.992
55000.976043 386.46 0.481 -0.002657 -0.02308 -4.9918
55001.975759 388.108 0.471 -0.003735 -0.025198 -4.9935
55002.98318 386.479 0.471 -0.003099 -0.023594 -4.9951
55003.967771 386.15 0.493 -0.003312 -0.022404 -4.9958
55004.930516 384.252 0.471 -0.003039 -0.023891 -4.9899
55005.924069 384.521 0.471 -0.00383 -0.021536 -4.9907
55023.917794 374.439 0.431 -0.005295 -0.025369 -4.9979
55024.859789 375.321 0.437 -0.004934 -0.028404 -5.0029
55025.904265 373.956 0.431 -0.005022 -0.026101 -4.9993
55026.947598 373.737 0.481 -0.004959 -0.025045 -4.9948
55027.936825 372.701 0.461 -0.004483 -0.024216 -4.9943
55028.851187 371.204 0.471 -0.005198 -0.026499 -4.9933
55029.886751 372.658 0.431 -0.004705 -0.026127 -4.9932
55030.901125 371.291 0.431 -0.004938 -0.02692 -4.9914
55031.848346 369.58 0.431 -0.004705 -0.02723 -4.9923
55032.854358 369.531 0.437 -0.004857 -0.025906 -4.9945
55037.879078 366.257 0.415 -0.004288 -0.02398 -4.9951
55038.842858 364.894 0.427 -0.00461 -0.032161 -4.9927
55039.825733 367.337 0.461 -0.004652 -0.02633 -4.9938
55040.920535 366.915 0.454 -0.004815 -0.028236 -4.9944
55041.866019 365.232 0.431 -0.003946 -0.024582 -4.9889
55042.897529 366.88 0.431 -0.004029 -0.027155 -4.9919
55044.918132 367.132 0.471 -0.00427 -0.025951 -4.9953
55045.812979 363.594 0.405 -0.004224 -0.028862 -4.9917
55046.818289 363.311 0.471 -0.004872 -0.02248 -5
55085.809789 345.442 0.421 -0.002064 -0.017923 -4.9746
55086.73136 343.586 0.461 -0.001568 -0.017894 -4.9739
55087.705458 344.611 0.461 -0.002009 -0.020895 -4.9771
55091.72771 340.124 0.421 -0.004873 -0.014984 -4.9759
55092.713128 341.396 0.437 -0.004756 -0.012017 -4.9698
55113.786643 331.56 0.411 -0.005144 -0.015953 -4.987
55114.729926 332.311 0.415 -0.005234 -0.01786 -4.9819
55115.715973 332.407 0.421 -0.004461 -0.015806 -4.9823
55116.668174 330.374 0.395 -0.003447 -0.017569 -4.9798
55117.691098 332.448 0.395 -0.003145 -0.018732 -4.9774
55118.695585 329.617 0.41 -0.002701 -0.01333 -4.9771
55119.727494 327.982 0.41 -0.0022 -0.009924 -4.9769
55120.652095 327.837 0.411 -0.001982 -0.014135 -4.9764
55121.685951 327.873 0.4 -0.002576 -0.020153 -4.9778
55122.638782 326.295 0.411 -0.002022 -0.021012 -4.9815
55123.736582 326.544 0.411 -0.002028 -0.023096 -4.9852
55353.898126 210.044 0.411 -0.001895 -0.012863 -4.9482
55353.990378 209.789 0.387 -0.001591 -0.013516 -4.9462
55354.863497 209.741 0.488 -0.002153 -0.009931 -4.9491
