55000 -4.616 0.74 -0.000741 -0.019283 -4.9878
55000.976043 -6.437 0.694 -0.001419 -0.018611 -4.9917
55001.975759 -6.191 0.687 -0.004053 -0.021654 -4.9949
55002.98318 -5.659 0.687 -0.002436 -0.015483 -4.9868
55003.967771 -9.256 0.702 -0.003471 -0.020094 -4.9942
55004.930516 -7.017 0.687 0.000648 -0.019501 -4.9881
55005.924069 -9.793 0.687 -0.003159 -0.028184 -4.9996
55023.917794 -5.639 0.66 -0.003688 -0.022639 -4.994
55024.859789 -6.284 0.664 -0.000887 -0.021641 -4.9952
55025.904265 -8.171 0.66 -0.003901 -0.027169 -5.0002
55026.947598 -9.063 0.694 -0.004217 -0.031323 -5.0051
55027.936825 -8.323 0.68 -0.003671 -0.023708 -4.9981
55028.851187 -8.325 0.687 -0.0051 -0.030037 -4.9985
55029.886751 -7.352 0.66 -0.006431 -0.023809 -4.9976
55030.901125 -8.007 0.66 -0.003512 -0.023366 -4.9965
55031.848346 -9.407 0.66 -0.002468 -0.025381 -4.9989
55032.854358 -7.242 0.664 -0.001723 -0.022639 -4.9956
55037.879078 -8.286 0.65 -0.002237 -0.024762 -4.9946
55038.842858 -8.587 0.658 -0.004065 -0.029255 -5.0049
55039.825733 -10.587 0.68 -0.006629 -0.034276 -5.0077
55040.920535 -9.95 0.675 -0.006212 -0.029157 -5.0014
55041.866019 -11.484 0.66 -0.004667 -0.03077 -5.0076
55042.897529 -8.532 0.66 -0.005489 -0.024265 -4.9961
55044.918132 -8.457 0.687 -0.002067 -0.024259 -4.9949
55045.812979 -9.826 0.643 -0.009219 -0.03084 -5.0055
55046.818289 -9.96 0.687 -0.005887 -0.022635 -4.9995
55085.809789 -6.089 0.654 -0.003399 -0.01924 -4.9929
55086.73136 -7.839 0.68 -0.001048 -0.018917 -4.9917
55087.705458 -9.227 0.68 -0.005238 -0.03008 -5.0004
55091.72771 -8.263 0.654 -0.004314 -0.026341 -4.9966
55092.713128 -10.201 0.664 -0.004735 -0.029119 -5.0005
55113.786643 -4.481 0.647 -0.003866 -0.013977 -4.984
55114.729926 -4.655 0.65 0.000328 -0.00906 -4.982
55115.715973 -8.726 0.654 -0.000552 -0.018846 -4.9873
55116.668174 -7.058 0.637 -0.000988 -0.015325 -4.9869
55117.691098 -7.234 0.637 -0.000645 -0.015083 -4.984
55118.695585 -9.389 0.647 -0.003038 -0.022349 -4.9931
55119.727494 -6.173 0.647 0.000686 -0.009188 -4.9794
