Time RV eRV BIS FWHM S-index
55000.01016 -7.942 0.758 -0.002399 -0.017843 -4.9684
55000.031943 -7.358 0.729 -0.002338 -0.019385 -4.9646
55000.051185 -5.995 0.743 6.8e-05 -0.015626 -4.9614
55000.899737 -9.245 0.7 -0.001998 -0.019061 -4.9672
55001.091211 -7.941 0.714 -0.0038 -0.022783 -4.9655
55001.180715 -7.663 0.707 0.000328 -0.02046 -4.9628
55001.920771 -9.488 0.679 -0.000936 -0.017893 -4.9661
55002.166872 -9.702 0.673 -0.002007 -0.021218 -4.9651
55002.903168 -7.033 0.679 0.001012 -0.01737 -4.9608
55003.19153 -7.666 0.686 -0.002282 -0.016486 -4.9607
55003.910433 -7.959 0.679 -0.004825 -0.019789 -4.9674
55004.190311 -6.612 0.679 -0.004997 -0.017236 -4.9613
55004.901677 -9.782 0.781 -0.002122 -0.026978 -4.9678
55005.146172 -9.071 0.781 -0.002677 -0.025535 -4.9649
55016.992988 5.851 0.812 0.001184 0.020708 -4.919
55017.065319 4.718 0.935 0.002346 0.017753 -4.9238
55017.126625 6.174 0.893 0.004947 0.024626 -4.9151
55017.980441 1.696 0.935 0.003746 0.009258 -4.9294
55018.062397 2.872 0.729 0.002371 0.009846 -4.9274
55018.12992 0.628 0.714 0.003474 0.007149 -4.9346
55018.962736 1.48 0.796 0.001492 0.009904 -4.9332
55019.052725 2.115 0.721 0.005273 0.012424 -4.9306
55019.12445 1.982 0.721 0.00315 0.012257 -4.9251
55019.978816 2.394 0.781 0.004578 0.010793 -4.9275
55020.047709 2.564 0.714 0.000519 0.009498 -4.9283
55020.123477 2.694 0.721 0.001909 0.006774 -4.9314
55020.924942 2.779 0.714 0.002469 0.009512 -4.9296
55021.045314 1.697 0.743 -0.000301 0.003518 -4.9337
55021.117926 1.766 0.743 0.000541 0.007486 -4.9349
55021.970359 5.753 0.743 0.000175 0.011059 -4.9263
55022.99611 3.435 0.679 -0.003347 0.007979 -4.9259
55023.073036 3.662 0.679 -0.000371 0.011979 -4.9261
55023.133828 5.373 0.693 -0.00438 0.012694 -4.924
55025.072406 11.145 0.91 -0.005245 0.016778 -4.9149
55026.098459 14.05 0.836 -0.004658 0.030319 -4.9005
55027.06494 15.757 0.736 -0.001794 0.034796 -4.8974
55027.12678 16.547 0.634 -0.002035 0.037562 -4.8946
55028.111997 13.02 0.64 -0.002301 0.036872 -4.9032
55029.936632 10.159 0.64 0.002943 0.037385 -4.9004
55029.9942 11.493 0.729 0.00252 0.044153 -4.8931
55030.119278 11.83 0.653 0.003514 0.042319 -4.8951
55033.111763 3.776 0.729 0.011064 0.032547 -4.9038
55033.973542 0.244 0.61 0.010086 0.027834 -4.9148
55034.061717 0.197 0.686 0.009561 0.025271 -4.9146
